2013049    10,13,14,16,21,32|14    2013-04-30
2013048    10,13,17,28,30,32|04    2013-04-28
2013047    01,08,11,17,27,30|12    2013-04-25
2013046    03,16,19,20,24,26|06    2013-04-23
2013045    06,07,08,14,23,31|12    2013-04-21
2013044    03,05,11,18,26,28|06    2013-04-18
2013043    03,06,14,15,17,25|16    2013-04-16
2013042    01,08,12,13,15,33|03    2013-04-14
2013041    02,10,12,17,23,24|05    2013-04-11
2013040    02,04,10,12,17,30|10    2013-04-09
2013039    01,02,14,15,24,29|06    2013-04-07
2013038    09,10,12,14,15,19|11    2013-04-04
2013037    02,15,18,27,28,32|14    2013-04-02
2013036    04,05,09,27,29,31|13    2013-03-31
2013035    01,14,15,17,26,30|02    2013-03-28
2013034    06,15,20,22,26,33|09    2013-03-26
2013033    05,06,13,17,19,28|01    2013-03-24
2013032    04,21,25,29,30,33|03    2013-03-21
2013031    03,13,14,15,21,33|03    2013-03-19
2013030    07,14,18,25,26,29|06    2013-03-17
2013029    06,07,10,19,23,29|12    2013-03-14
2013028    07,08,14,25,26,28|13    2013-03-12
2013027    01,02,04,12,21,24|12    2013-03-10
2013026    04,11,14,15,22,31|11    2013-03-07
2013025    16,17,18,24,25,30|08    2013-03-05
2013024    04,05,13,23,27,30|09    2013-03-03
2013023    03,06,15,18,30,32|05    2013-02-28
2013022    02,04,07,09,15,20|07    2013-02-26
2013021    01,06,17,19,26,31|11    2013-02-24
2013020    01,07,08,12,16,21|01    2013-02-21
2013019    01,02,05,16,20,26|06    2013-02-19
2013018    02,08,13,28,29,30|05    2013-02-17
2013017    04,06,12,30,31,32|09    2013-02-07
2013016    02,05,06,12,14,28|05    2013-02-05
2013015    05,06,07,11,13,18|15    2013-02-03
2013014    02,04,05,17,19,20|08    2013-01-31
2013013    05,06,13,19,22,28|09    2013-01-29
2013012    06,14,17,22,28,29|02    2013-01-27
2013011    03,12,17,24,27,29|09    2013-01-24
2013010    01,09,11,17,32,33|12    2013-01-22
2013009    01,04,09,13,16,23|02    2013-01-20
2013008    03,08,17,21,25,32|15    2013-01-17
2013007    02,09,15,22,26,32|01    2013-01-15
2013006    09,10,13,17,22,30|13    2013-01-13
2013005    01,13,14,25,31,32|12    2013-01-10
2013004    06,10,16,20,27,32|08    2013-01-08
2013003    22,23,26,27,28,33|09    2013-01-06
2013002    01,16,18,22,28,30|12    2013-01-03
2013001    06,08,14,15,24,25|06    2013-01-01
